userId,bookId,rating
1,3,4
1,8,5
1,14,3
1,27,4
1,36,2
2,7,5
2,12,4
2,18,3
2,29,5
2,42,2
3,5,4
3,9,3
3,15,5
3,21,4
3,30,1
4,1,5
4,4,4
4,13,2
4,22,3
4,34,5
5,2,3
5,6,4
5,16,5
5,26,3
5,38,2
6,11,4
6,20,3
6,25,5
6,33,4
6,45,1
7,10,5
7,19,4
7,24,3
7,31,5
7,47,2
8,17,4
8,23,3
8,28,5
8,37,4
8,49,1
9,35,5
9,40,4
9,46,3
9,50,5
9,2,4.5
10,39,4
10,41,3
10,44,5
10,48,4
10,3,1
1,51,4
1,52,5
1,53,3
1,54,4
1,55,2
2,56,5
2,57,4
2,58,3
2,59,5
2,60,2
3,61,4
3,62,3
3,63,5
3,64,4
3,65,1
4,66,5
4,67,4
4,68,2
4,69,3
4,70,5
5,71,3
5,72,4
5,73,5
5,74,3
5,75,2
6,76,4
6,77,3
6,78,5
6,79,4
6,80,1
7,81,5
7,82,4
7,83,3
7,84,5
7,85,2
8,86,4
8,87,3
8,88,5
8,89,4
8,90,4.5
9,91,5
9,92,4
9,93,3
9,94,5
9,95,2
10,96,4
10,97,3
10,98,5
10,99,4
10,100,1
11,101,5
11,102,4
11,103,3
11,104,5
11,105,2
12,106,4
12,107,3
12,108,5
12,109,4
12,110,1
13,51,4
13,52,5
13,53,3
13,54,4
13,55,2
14,56,5
14,57,4
14,58,3
14,59,5
14,60,2
15,61,4
15,62,3
15,63,5
15,64,4
15,65,1
16,66,5
16,67,4
16,68,2
16,69,3
16,70,5
17,71,3
17,72,4
17,73,5
17,74,3
17,75,2
18,76,4
18,77,3
18,78,5
18,79,4
18,80,1
19,81,5
19,82,4
19,83,3
19,84,5
19,85,3.5
20,86,4
20,87,3
20,88,5
20,89,4
20,90,4.5
21,91,5
21,92,4
21,93,3
21,94,5
21,95,2
22,96,4
22,97,3
22,98,5
22,99,4
22,100,1
23,101,5
23,102,4
23,103,3
23,104,5
23,105,2
24,106,4
24,107,3
24,108,5
24,109,4
24,110,1
25,111,5
25,112,4
25,113,3
25,114,5
25,115,2
26,116,4
26,117,3
26,118,5
26,119,4
26,120,1
27,121,5
27,122,4
27,123,3
27,124,5
27,125,3
28,126,4
28,127,3
28,128,5
28,129,4
28,130,4
29,131,5
29,132,4
29,133,3
29,134,5
29,135,2
30,136,4
30,137,3
30,138,5
30,139,4
30,140,5
